image_name,skin_color
IMG_0001,e9d7cf
IMG_0002,ecd9cb
IMG_0003,e4dcd7
IMG_0004,f1dbce
IMG_0005,e6cbb7
IMG_0006,f1d9cd
IMG_0007,f0cdbb
IMG_0008,eedbd4
IMG_0009,e5cbbe
IMG_0010,ebcfce
IMG_0011,ebd0bf
IMG_0012,f4d8cc
IMG_0013,e7ccbb
IMG_0014,e0ca0b
IMG_0015,ddc4b8
IMG_0016,f2dbcd
IMG_0017,e0c4b0
IMG_0018,ebd1c0
IMG_0019,e6c6b7
IMG_0020,e6bdab
IMG_0021,e7c4b0
IMG_0022,eed1c3
IMG_0023,ead0c3
IMG_0024,e5c7b9
IMG_0025,ecd1c3
IMG_0026,e4beab
IMG_0027,e2c2ad
IMG_0028,eacbc1
IMG_0029,ddb9a6
IMG_0030,d6b29f
IMG_0031,e1bba8
IMG_0032,cb9d83
IMG_0033,cfa88f
IMG_0034,c7937b
IMG_0035,c5937c
IMG_0036,c68571
IMG_0037,e7ae96
IMG_0038,ddb097
IMG_0039,c39478
IMG_0040,b07b5c
IMG_0041,b27c64
IMG_0042,be856d
IMG_0043,9a6567
IMG_0044,965d46
IMG_0045,9d6d5b
IMG_0046,875b51
IMG_0047,704033
IMG_0048,53332a
IMG_0049,462921
IMG_0050,362219
