season,product_color_r
light_summer,cool
light_spring,cool
light_summer,cool
light_spring,cool
dark_autumn,dark_neutral
soft_summer,light_neutral
true_winter,deep
true_spring,pastel
true_winter,deep
soft_summer,light_neutral
dark_autumn,dark_neutral
true_autumn,warm
true_autumn,warm
true_autumn,warm
true_spring,pastel
soft_summer,light_neutral
true_summer,neutral
soft_autumn,earth
dark_autumn,dark_neutral
soft_autumn,earth
soft_autumn,earth
dark_winter,jewel
true_summer,neutral
dark_winter,jewel
bright_winter,light_neutral
soft_summer,light_neutral
true_autumn,warm
soft_autumn,earth
bright_spring,vivid
bright_winter,light_neutral
bright_spring,vivid
true_spring,pastel
true_summer,neutral
dark_winter,jewel
dark_autumn,dark_neutral
bright_spring,vivid
soft_autumn,earth
true_winter,deep
true_spring,pastel
bright_winter,light_neutral
true_winter,deep
bright_spring,vivid
bright_winter,light_neutral
true_summer,neutral
true_summer,neutral
dark_winter,jewel
light_spring,cool
light_spring,cool
light_summer,cool
light_summer,cool
